age,sex,disability_rate,expenditure_rate_first,expenditure_rate,expenditure_rate_last,income_first,income,income_last
0,female,0.04057693374392226,101.65063971877466,101.65063971877466,101.65063971877466,0.0,0.0,0.0
0,male,0.04057363202618335,66.92376667172678,66.92376667172678,66.92376667172678,0.0,0.0,0.0
1,female,0.04057693374392225,1023.1231657819367,1023.1231657819367,1023.1231657819367,0.0,0.0,0.0
1,male,0.04057363202618336,986.3058695381885,986.3058695381885,986.3058695381885,0.0,0.0,0.0
2,female,0.04057693374392225,959.1779679205655,959.1779679205655,959.1779679205655,0.0,0.0,0.0
2,male,0.040573632026183346,924.6617526920514,924.6617526920514,924.6617526920514,0.0,0.0,0.0
3,female,0.040545410730648004,716.542780078076,716.542780078076,716.542780078076,0.0,0.0,0.0
3,male,0.04057549478592308,742.5974263361754,742.5974263361754,742.5974263361754,0.0,0.0,0.0
4,female,0.040517802334507726,672.0516234158002,672.0516234158002,672.0516234158002,0.0,0.0,0.0
4,male,0.04057737204619208,745.4877764621166,745.4877764621166,745.4877764621166,0.0,0.0,0.0
5,female,0.04049342199277755,395.69451715348214,395.69451715348214,395.69451715348214,0.0,0.0,0.0
5,male,0.04057926397696949,430.083449879258,430.083449879258,430.083449879258,0.0,0.0,0.0
6,female,0.04047173482500876,373.83932369363083,373.83932369363083,373.83932369363083,0.0,0.0,0.0
6,male,0.04058117075090172,431.7705610827861,431.7705610827861,431.7705610827861,0.0,0.0,0.0
7,female,0.04045231793661095,354.2719990504812,354.2719990504812,354.2719990504812,0.0,0.0,0.0
7,male,0.040583092543354744,433.47096065484624,433.47096065484624,433.47096065484624,0.0,0.0,0.0
8,female,0.04039990104796791,352.7080597403184,352.7080597403184,352.7080597403184,0.0,0.0,0.0
8,male,0.04052559061078958,445.01448689635964,445.01448689635964,445.01448689635964,0.0,0.0,0.0
9,female,0.04034794491566693,351.1578678114747,351.1578678114747,351.1578678114747,0.0,0.0,0.0
9,male,0.04046494228378136,457.18965254891936,457.18965254891936,457.18965254891936,0.0,0.0,0.0
10,female,0.04029644349106331,289.44752384792264,289.44752384792264,289.44752384792264,0.0,0.0,0.0
10,male,0.04040088205128473,335.9833935100104,335.9833935100104,335.9833935100104,0.0,0.0,0.0
11,female,0.040245390830923725,288.1864542376697,288.1864542376697,288.1864542376697,0.0,0.0,0.0
11,male,0.040333113663805,345.70766741859694,345.70766741859694,345.70766741859694,0.0,0.0,0.0
12,female,0.04019478109513983,286.93632545680873,286.93632545680873,286.93632545680873,0.0,0.0,0.0
12,male,0.04026130555254374,356.0116124987648,356.0116124987648,356.0116124987648,0.0,0.0,0.0
13,female,0.04009829985543116,287.4297814333388,287.4297814333388,287.4297814333388,0.0,0.0,0.0
13,male,0.040201227426425824,369.97954548930625,369.97954548930625,369.97954548930625,0.0,0.0,0.0
14,female,0.040001486198689776,287.92493756600265,287.92493756600265,287.92493756600265,0.0,0.0,0.0
14,male,0.04013624251623273,385.08828688366776,385.08828688366776,385.08828688366776,0.0,0.0,0.0
15,female,0.039904338403983615,215.9332232370815,215.9332232370815,215.9332232370815,0.0,0.0,0.0
15,male,0.04006572409811894,184.37433916507635,184.37433916507635,184.37433916507635,0.0,0.0,0.0
16,female,0.039806854738480994,216.3064981214481,216.3064981214481,216.3064981214481,0.0,0.0,0.0
16,male,0.03998893397012467,192.57320689050664,192.57320689050664,192.57320689050664,0.0,0.0,0.0
17,female,0.03970903345734759,216.68106577045268,216.68106577045268,216.68106577045268,0.0,0.0,0.0
17,male,0.039904996512290486,201.53519369749569,201.53519369749569,201.53519369749569,0.0,0.0,0.0
18,female,0.039625719383694635,219.4961108681576,219.4961108681576,219.4961108681576,0.0,0.0,0.0
18,male,0.0398571467583397,209.90795783296315,209.90795783296315,209.90795783296315,0.0,0.0,0.0
19,female,0.039540212040873726,222.38526291260587,222.38526291260587,222.38526291260587,0.0,0.0,0.0
19,male,0.03980514884053862,219.00656890902988,219.00656890902988,219.00656890902988,0.0,0.0,0.0
20,female,0.039452423665941316,216.23784685009616,216.23784685009616,216.23784685009616,0.0,0.0,0.0
20,male,0.0397484389027198,185.97158812370878,185.97158812370878,185.97158812370878,0.0,0.0,0.0
21,female,0.0393622617502475,219.161066149082,219.161066149082,219.161066149082,0.0,0.0,0.0
21,male,0.039686346046030725,194.79781867113718,194.79781867113718,194.79781867113718,0.0,0.0,0.0
22,female,0.03926962871426516,222.1644038268969,222.1644038268969,222.1644038268969,0.0,0.0,0.0
22,male,0.03961806566203657,204.503579416164,204.503579416164,204.503579416164,0.0,0.0,0.0
23,female,0.0392252866917881,225.27749202674528,225.27749202674528,225.27749202674528,0.0,0.0,0.0
23,male,0.03958580343174572,210.48287679975542,210.48287679975542,210.48287679975542,0.0,0.0,0.0
24,female,0.039179684319638766,228.4790646815927,228.4790646815927,228.4790646815927,0.0,0.0,0.0
24,male,0.039551597807254514,216.82235175795262,216.82235175795262,216.82235175795262,0.0,0.0,0.0
25,female,0.03913276708806583,579.9693344550046,227.16932981600084,26.74806546066749,-7712.509168593293,-8526.203248942054,-12777.70229917244
25,male,0.03951526773790799,783.1747040376429,190.64802708641795,-2.277124057171589,-11273.355742082294,-11915.669535580224,-33419.53347050258
26,female,0.03908447729796424,589.6522179642374,230.96203751070303,27.194638040571828,-7712.509168593293,-8526.203248942054,-12777.70229917244
26,male,0.03947660896287318,807.8658451264996,196.65858553631992,-2.3489149246275827,-11273.355742082294,-11915.669535580224,-33419.53347050258
27,female,0.039034753824152044,599.5442135401627,234.836652722277,27.650854825637058,-7712.509168593293,-8526.203248942054,-12777.70229917244
27,male,0.039435390168641234,834.0959541369133,203.04377457181346,-2.4251804270013357,-11273.355742082294,-11915.669535580224,-33419.53347050258
28,female,0.03900070296144319,607.7081769779309,238.03441162541435,28.027375126761463,-7712.509168593293,-8526.203248942054,-12777.70229917244
28,male,0.03938510948106496,847.2976057842154,206.25744941072824,-2.463564964200364,-11273.355742082294,-11915.669535580224,-33419.53347050258
29,female,0.038965788558204824,615.9273886938383,241.2538108353279,28.40644346701909,-7712.509168593293,-8526.203248942054,-12777.70229917244
29,male,0.039333238393959156,860.6937284716595,209.51846428748817,-2.502514936776259,-11273.355742082294,-11915.669535580224,-33419.53347050258
30,female,0.038929977343063804,799.7769582404381,286.7356212495176,306.43370983338417,-7338.70039182103,-8152.3944721697935,-12403.893522400176
30,male,0.03927970023725014,1091.1233119856547,250.6956588663007,270.0176003401051,-5315.595333505054,-5957.909127002984,-27461.77306192534
31,female,0.03889323431319191,811.3444016187188,290.88277506429756,310.8657637343776,-7338.70039182103,-8152.3944721697935,-12403.893522400176
31,male,0.03922441333222481,1109.8558741953113,254.99963805345382,274.65330140203946,-5315.595333505054,-5957.909127002984,-27461.77306192534
32,female,0.03885552262018911,822.9837959766963,295.05572470708967,315.32538557841747,-7338.70039182103,-8152.3944721697935,-12403.893522400176
