agecategory,sex,strata,prev,f,r
0,female,SES1,1.0,0.7349089256154842,1.0
0,female,SES2,1.0,0.7937342879890826,1.0
0,female,SES3,1.0,0.8572682926689195,1.0
0,female,SES4,1.0,0.9258878402208982,1.0
0,female,SES5,1.0,1.0,1.0
0,male,SES1,1.0,1.0,1.0
0,male,SES2,1.0,1.0,1.0
0,male,SES3,1.0,1.0,1.0
0,male,SES4,1.0,1.0,1.0
0,male,SES5,1.0,1.0,1.0
15,female,SES1,1.0,1.0113761400970638,1.0
15,female,SES2,1.0,1.00852002941485,1.0
15,female,SES3,1.0,1.005671984345325,1.0
15,female,SES4,1.0,1.0028319821113232,1.0
15,female,SES5,1.0,1.0,1.0
15,male,SES1,1.0,0.9999999999999998,1.0
15,male,SES2,1.0,1.0,1.0
15,male,SES3,1.0,1.0,1.0
15,male,SES4,1.0,1.0,1.0
15,male,SES5,1.0,1.0,1.0
30,female,SES1,0.9268962531798591,4.643102439411228,1.0
30,female,SES2,0.925365778302985,3.163051034366674,1.0
30,female,SES3,0.9287726572639292,2.1547859381876493,1.0
30,female,SES4,0.9516887071385655,1.4679189140370286,1.0
30,female,SES5,1.0,1.0,1.0
30,male,SES1,0.9206900210731926,6.608012375155068,1.0
30,male,SES2,0.9220030727939552,4.121479421223273,1.0
30,male,SES3,0.9284265323924559,2.570605449141324,1.0
30,male,SES4,0.9283015037838189,1.60331077746684,1.0
30,male,SES5,1.0,1.0,1.0
45,female,SES1,1.0459540666366154,6.17999047925158,1.0
45,female,SES2,1.0464711483510505,3.9195919271654645,1.0
45,female,SES3,1.0231617277805232,2.4859586640271356,1.0
45,female,SES4,1.0023180288641946,1.5766923174884615,1.0
45,female,SES5,1.0,1.0,1.0
45,male,SES1,1.015561963378982,16.504036381927445,1.0
45,male,SES2,1.0146661791816574,8.188278948205236,1.0
45,male,SES3,1.0041364479573343,4.062516016205652,1.0
45,male,SES4,0.9987458725543465,2.015568410202356,1.0
45,male,SES5,1.0,1.0,1.0
60,female,SES1,1.0112927357267212,3.4020569351225025,1.0
60,female,SES2,1.0085181121355096,2.5049910763871606,1.0
60,female,SES3,1.0021562970075935,1.844466571972098,1.0
60,female,SES4,0.9964743291971483,1.3581113989552178,1.0
60,female,SES5,1.0,1.0,1.0
60,male,SES1,1.0094521646629873,4.01460568471994,1.0
60,male,SES2,1.009221343664565,2.8361694287332373,1.0
60,male,SES3,1.0022372425300832,2.0036480940324672,1.0
60,male,SES4,0.9940879442081705,1.4155027707611412,1.0
60,male,SES5,1.0,1.0,1.0
75,female,SES1,0.979337578289586,1.6227513398052344,1.0
75,female,SES2,0.9861509668262737,1.437768559050593,1.0
75,female,SES3,0.982163425152034,1.2738725759687404,1.0
75,female,SES4,0.9904667499153881,1.1286596369006647,1.0
75,female,SES5,1.0,1.0,1.0
75,male,SES1,0.9836914905945495,2.0195253700899727,1.0
75,male,SES2,0.9903275235972324,1.694091974240713,1.0
75,male,SES3,0.9861485346323691,1.4211000563260747,1.0
75,male,SES4,0.9923018168533979,1.1920990128030786,1.0
75,male,SES5,1.0,1.0,1.0
