year_start,sex,births
0,female,1
1,female,2
2,female,3
3,female,4
4,female,5
5,female,6
6,female,7
7,female,8
8,female,9
9,female,10
10,female,11
11,female,12
12,female,13
13,female,14
14,female,15
15,female,16
16,female,17
17,female,18
18,female,19
19,female,20
20,female,21
21,female,22
22,female,23
23,female,24
24,female,25
25,female,26
26,female,27
27,female,28
28,female,29
29,female,30
30,female,31
31,female,32
32,female,33
33,female,34
34,female,35
35,female,36
36,female,37
37,female,38
38,female,39
39,female,40
40,female,41
41,female,42
42,female,43
43,female,44
44,female,45
45,female,46
46,female,47
47,female,48
48,female,49
49,female,50
50,female,51
51,female,52
52,female,53
53,female,54
54,female,55
55,female,56
56,female,57
57,female,58
58,female,59
59,female,60
60,female,61
61,female,62
62,female,63
63,female,64
64,female,65
65,female,66
66,female,67
67,female,68
68,female,69
69,female,70
70,female,71
71,female,72
72,female,73
73,female,74
74,female,75
75,female,76
76,female,77
77,female,78
78,female,79
79,female,80
80,female,81
81,female,82
82,female,83
83,female,84
84,female,85
85,female,86
86,female,87
87,female,88
88,female,89
89,female,90
90,female,91
91,female,92
92,female,93
93,female,94
94,female,95
95,female,96
96,female,97
97,female,98
98,female,99
99,female,100
100,female,101
101,female,102
102,female,103
103,female,104
104,female,105
105,female,106
106,female,107
107,female,108
108,female,109
109,female,110
0,male,111
1,male,112
2,male,113
3,male,114
4,male,115
5,male,116
6,male,117
7,male,118
8,male,119
9,male,120
10,male,121
11,male,122
12,male,123
13,male,124
14,male,125
15,male,126
16,male,127
17,male,128
18,male,129
19,male,130
20,male,131
21,male,132
22,male,133
23,male,134
24,male,135
25,male,136
26,male,137
27,male,138
28,male,139
29,male,140
30,male,141
31,male,142
32,male,143
33,male,144
34,male,145
35,male,146
36,male,147
37,male,148
38,male,149
39,male,150
40,male,151
41,male,152
42,male,153
43,male,154
44,male,155
45,male,156
46,male,157
47,male,158
48,male,159
49,male,160
50,male,161
51,male,162
52,male,163
53,male,164
54,male,165
55,male,166
56,male,167
57,male,168
58,male,169
59,male,170
60,male,171
61,male,172
62,male,173
63,male,174
64,male,175
65,male,176
66,male,177
67,male,178
68,male,179
69,male,180
70,male,181
71,male,182
72,male,183
73,male,184
74,male,185
75,male,186
76,male,187
77,male,188
78,male,189
79,male,190
80,male,191
81,male,192
82,male,193
83,male,194
84,male,195
85,male,196
86,male,197
87,male,198
88,male,199
89,male,200
90,male,201
91,male,202
92,male,203
93,male,204
94,male,205
95,male,206
96,male,207
97,male,208
98,male,209
99,male,210
100,male,211
101,male,212
102,male,213
103,male,214
104,male,215
105,male,216
106,male,217
107,male,218
108,male,219
109,male,220
